"","YTID","Author","Year","Title","Journal","Volume","Issue","Pages","DOI","PMCID","Record Number"
"726","1997 - Aniracetam ameliorates impaired pre- and post-synaptic cholinergic indices in gerbil hippocampus induced by transient forebrain ischemia","Y. Kondo, M. Asanuma, H. Kabuto, E. Iwata, F. Kondo, I. Miyazaki and N. Ogawa",1997,"Aniracetam ameliorates impaired pre- and post-synaptic cholinergic indices in gerbil hippocampus induced by transient forebrain ischemia","Journal of Brain Science","23","4","250-260",NA,NA,16561
"727","1997 - Assessment of sensorimotor neglect after occlusion of the middle cerebral artery in the rat","N. M. Ward, J. Sharkey and V. J. Brown",1997,"Assessment of sensorimotor neglect after occlusion of the middle cerebral artery in the rat","Behavioral Neuroscience","111","5","1133-1145","10.1037/0735-7044.111.5.1133",NA,16564
"728","1997 - Behavioral correlates of transneuronal degeneration of substantia nigra reticulata neurons are reversed by ablation of the subthalamic nucleus","M. Saji, Y. Endo, T. Miyanishi, B. T. Volpe and K. Ohno",1997,"Behavioral correlates of transneuronal degeneration of substantia nigra reticulata neurons are reversed by ablation of the subthalamic nucleus","Behav Brain Res","84","43497","63-71",NA,NA,16566
"729","1997 - Behavioral recovery patterns in rats receiving the NMDA receptor antagonist MDL 100,453 immediately post-stroke","C. G. Markgraf, M. P. Johnson, D. L. Braun and M. V. Bickers",1997,"Behavioral recovery patterns in rats receiving the NMDA receptor antagonist MDL 100,453 immediately post-stroke","Pharmacology Biochemistry and Behavior","56","3","391-397","10.1016/S0091-3057(96)00231-6",NA,16567
"730","1997 - Chronic ischemia: Memory impairment and neural pathology in the rat","B. A. Pappas, C. M. Davidson, S. A. L. Bennett, J. C. De La Torre, T. Fortin and M. P. R. Tenniswood",1997,"Chronic ischemia: Memory impairment and neural pathology in the rat","Annals New York Academy of Sciences","826","(Pappas B.A.; Bennett S.A.L.) Institute of Neuroscience, Carleton University, Ottawa, Ont. K1S 5B6, Canada","498-501","10.1111/j.1749-6632.1997.tb48512.x",NA,16580
"731","1997 - Citicoline antagonizes bromazepam-induced amnesia in rats","X. A. Alvarez, B. Vecino, J. E. Perea, D. Daniele and R. Cacabelos",1997,"Citicoline antagonizes bromazepam-induced amnesia in rats","Human Psychopharmacology","12","6","547-556","10.1002/(SICI)1099-1077(199711/12)12:6<547::AID-HUP922>3.0.CO;2-T",NA,16581
"732","1997 - Compensatory long-term effect of perinatal hypoxia-ischemia. A possible mechanism for neuroprotection?","Z. Binienda",1997,"Compensatory long-term effect of perinatal hypoxia-ischemia. A possible mechanism for neuroprotection?","Ann N Y Acad Sci.","825","(Binienda Z., zbinienda@nctr.fda.gov) Division of Neurotoxicology, Natl. Ctr. for Toxicological Res., Food and Drug Administration, Jefferson, AR 72079-9502, United States","146-151",NA,NA,16587
"733","1997 - Constraint-induced movement therapy for motor recovery after stroke","D. M. Morris, J. E. Crago, S. C. DeLuca, R. D. Pidikiti and E. Taub",1997,"Constraint-induced movement therapy for motor recovery after stroke","NeuroRehabilitation","9","1","29-43","10.3233/nre-1997-9104",NA,16590
"734","1997 - Correlation between motor impairment and infarct volume after permanent and transient middle cerebral artery occlusion in the rat","D. C. Rogers, C. A. Campbell, J. L. Stretton and K. B. Mackay",1997,"Correlation between motor impairment and infarct volume after permanent and transient middle cerebral artery occlusion in the rat","Stroke","28","10","2060-2066",NA,NA,16593
"735","1997 - Cortical application of potassium chloride induces the low-molecular weight heat shock protein (Hsp27) in astrocytes","J. C. Plumier, J. C. David, H. A. Robertson and R. W. Currie",1997,"Cortical application of potassium chloride induces the low-molecular weight heat shock protein (Hsp27) in astrocytes","J Cereb Blood Flow Metab","17","7","781-90","10.1097/00004647-199707000-00008",NA,16594
"736","1997 - Cortical spreading depression induces long-term alterations of BDNF levels in cortex and hippocampus distinct from lesion effects: implications for ischemic tolerance","N. Kawahara, S. D. Croll, S. J. Wiegand and I. Klatzo",1997,"Cortical spreading depression induces long-term alterations of BDNF levels in cortex and hippocampus distinct from lesion effects: implications for ischemic tolerance","Neurosci Res","29","1","37-47",NA,NA,16595
"737","1997 - Delayed antagonism of AMPA/kainate receptors reduces long-term functional deficits resulting from spinal cord trauma","J. R. Wrathall, Y. D. Teng and R. Marriott",1997,"Delayed antagonism of AMPA/kainate receptors reduces long-term functional deficits resulting from spinal cord trauma","Experimental Neurology","145","2 I","565-573","10.1006/exnr.1997.6506",NA,16600
"738","1997 - Dietary docosahexaenoic acid increases cerebral acetylcholine levels and improves passive avoidance performance in stroke-prone spontaneously hypertensive rats","M. Minami, S. Kimura, T. Endo, N. Hamaue, M. Hirafuji, H. Togashi, M. Matsumoto, M. Yoshioka, H. Saito, S. Watanabe, T. Kobayashi and H. Okuyama",1997,"Dietary docosahexaenoic acid increases cerebral acetylcholine levels and improves passive avoidance performance in stroke-prone spontaneously hypertensive rats","Pharmacology Biochemistry and Behavior","58","4","1123-1129","10.1016/S0091-3057(97)00300-6",NA,16601
"739","1997 - Early detection of irreversibly damaged ischemic tissue by flumazenil positron emission tomography in cats","W. D. Heiss, R. Graf, T. Fujita, K. Ohta, B. Bauer, J. Lottgen and K. Wienhard",1997,"Early detection of irreversibly damaged ischemic tissue by flumazenil positron emission tomography in cats","Stroke","28","10","2045-51; discussion 2051-2",NA,NA,16604
"740","1997 - Effect of ischemic cerebral volume changes on behavior","P. D. Lyden, L. M. Lonzo, S. Y. Nunez, T. Dockstader, O. Mathieu-Costello and J. A. Zivin",1997,"Effect of ischemic cerebral volume changes on behavior","Behavioural Brain Research","87","1","59-67","10.1016/S0166-4328(96)02269-3",NA,16605
"741","1997 - Effective reduction of infarct volume by gap junction blockade in a rodent model of stroke","A. Rawanduzy, A. Hansen, T. W. Hansen and M. Nedergaard",1997,"Effective reduction of infarct volume by gap junction blockade in a rodent model of stroke","J Neurosurg","87","6","916-20","10.3171/jns.1997.87.6.0916",NA,16608
"742","1997 - Effective reduction of infarct volume by gap junction blockade in a rodent model of stroke","A. Rawanduzy, A. Hansen, T. W. Hansen and M. Nedergaard",1997,"Effective reduction of infarct volume by gap junction blockade in a rodent model of stroke","Neurosurg Focus","2","5","E1; discussion 1 p following E1",NA,NA,16609
"743","1997 - Effectiveness of retrograde perfusion of the cerebral vein for attenuating neuronal injury after transient ischemia following reperfusion in the rat brain","N. Inoue, Y. L. Yamamoto, K. Korematsu, S. Goto, S. Nagahiro, T. Oyama, K. Yamada and Y. Ushio",1997,"Effectiveness of retrograde perfusion of the cerebral vein for attenuating neuronal injury after transient ischemia following reperfusion in the rat brain","Neurologia Medico-Chirurgica","37","3","243-249",NA,NA,16610
"744","1997 - Effects of fructose-1,6-bisphosphate on microsphere-induced cerebral ischemia in the rat","G. R. Trimarchi, F. A. Arcadi, C. Imperatore, P. Ruggeri and G. Costa",1997,"Effects of fructose-1,6-bisphosphate on microsphere-induced cerebral ischemia in the rat","Life Sciences","61","6","611-622","10.1016/S0024-3205(97)00436-0",NA,16613
"745","1997 - Effects of isradipine, an L-type calcium channel blocker on permanent and transient focal cerebral ischemia in spontaneously hypertensive rats","C. A. Campbell, K. B. Mackay, S. Patel, P. D. King, J. L. Stretton, S. J. Hadingham and T. C. Hamilton",1997,"Effects of isradipine, an L-type calcium channel blocker on permanent and transient focal cerebral ischemia in spontaneously hypertensive rats","Experimental neurology","148","1","45-50",NA,NA,16615
"746","1997 - Energetics of swimming by the platypus Ornithorhynchus anatinus: Metabolic effort associated with rowing","F. E. Fish, R. V. Baudinette, P. B. Frappell and M. P. Sarre",1997,"Energetics of swimming by the platypus Ornithorhynchus anatinus: Metabolic effort associated with rowing","Journal of Experimental Biology","200","20","2647-2652",NA,NA,16619
"747","1997 - Enhanced nitric oxide release during cortical spreading depression following infusion of glyceryl trinitrate in the anaesthetized cat","S. J. Read, M. I. Smith, A. J. Hunter and A. A. Parsons",1997,"Enhanced nitric oxide release during cortical spreading depression following infusion of glyceryl trinitrate in the anaesthetized cat","Cephalalgia","17","3","159-65","10.1046/j.1468-2982.1997.1703159.x",NA,16620
"748","1997 - Estrogen alleviates cognitive dysfunction following transient brain ischemia in ovariectomized gerbils","Y. Kondo, K. Suzuki and Y. Sakuma",1997,"Estrogen alleviates cognitive dysfunction following transient brain ischemia in ovariectomized gerbils","Neuroscience Letters","238","43497","45-48","10.1016/S0304-3940(97)00847-1",NA,16621
"749","1997 - Experimental neurotrophic factor therapy leads to cortical synaptic remodeling and compensates for behavioral deficits","A. C. Cuello",1997,"Experimental neurotrophic factor therapy leads to cortical synaptic remodeling and compensates for behavioral deficits","J Psychiatry Neurosci","22","1","46-55",NA,"PMC1188816",16624
"750","1997 - Exploration of P-type Ca2+ channels as drug targets for the treatment of epilepsy or ischemic stroke","K. Lingenhohl, D. L. Small, R. Monette, A. M. Buchan, P. Morley, P. R. Allegrini, L. W. Frost, D. Sauer, M. Schmutz and T. Knopfel",1997,"Exploration of P-type Ca2+ channels as drug targets for the treatment of epilepsy or ischemic stroke","Neuropharmacology","36","1","107-13",NA,NA,16625
"751","1997 - Expression of a dominant negative mutant of interleukin-1Î² converting enzyme in transgenic mice prevents neuronal cell death induced by trophic factor withdrawal and ischemic brain injury",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"752","1997 - Failure in learning task and loss of cortical cholinergic fibers in microsphere-embolized rats","N. Takagi, K. Miyake, T. Taguchi, H. Tamada, K. Takagi, N. Sugita and S. Takeo",1997,"Failure in learning task and loss of cortical cholinergic fibers in microsphere-embolized rats","Experimental Brain Research","114","2","279-287",NA,NA,16627
"753","1997 - Hemodynamic depression and microthrombosis in the peripheral areas of cortical contusion in the rat: role of platelet activating factor","T. Maeda, Y. Katayama, T. Kawamata, N. Aoyama and T. Mori",1997,"Hemodynamic depression and microthrombosis in the peripheral areas of cortical contusion in the rat: role of platelet activating factor","Acta Neurochir Suppl","70",NA,"102-5",NA,NA,16631
"754","1997 - Hyperglycemia delays terminal depolarization and enhances repolarization after peri-infarct spreading depression as measured by serial diffusion MR mapping","T. Els, J. Rother, C. Beaulieu, A. de Crespigny and M. Moseley",1997,"Hyperglycemia delays terminal depolarization and enhances repolarization after peri-infarct spreading depression as measured by serial diffusion MR mapping","J Cereb Blood Flow Metab","17","5","591-5","10.1097/00004647-199705000-00015",NA,16633
"755","1997 - Implications of neurological rehabilitation for advancing intracerebral transplantation","S. Polgar, C. V. Borlongan, T. K. Koutouzis, S. L. Todd, D. W. Cahill and P. R. Sanberg",1997,"Implications of neurological rehabilitation for advancing intracerebral transplantation","Brain Res Bull","44","3","229-32",NA,NA,16636
"756","1997 - Importance of preoperative training and maze difficulty in task performance following hippocampal damage in the gerbil","A. M. Babcock and H. Graham-Goodwin",1997,"Importance of preoperative training and maze difficulty in task performance following hippocampal damage in the gerbil","Brain Research Bulletin","42","6","415-419","10.1016/S0361-9230(96)00330-9",NA,16638
"757","1997 - Improved intracranial lesion characterization by tissue segmentation based on a 3D feature map","S. Vinitski, C. Gonzalez, F. Mohamed, T. Iwanaga, R. L. Knobler, K. Khalili and J. Mack",1997,"Improved intracranial lesion characterization by tissue segmentation based on a 3D feature map","Magn Reson Med","37","3","457-69",NA,NA,16639
"758","1997 - In vivo proton magnetic resonance spectroscopy for metabolic changes in brain during chronic cerebral vasospasm in primates","Y. Handa, M. Kaneko, T. Matuda, H. Kobayashi and T. Kubota",1997,"In vivo proton magnetic resonance spectroscopy for metabolic changes in brain during chronic cerebral vasospasm in primates","Neurosurgery","40","4","773-80; discussion 780-1",NA,NA,16640
"759","1997 - Inhibition of interleukin 1Î² converting enzyme family proteases reduces ischemic and excitotoxic neuronal damage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"760","1997 - Long-term beneficial effects of BW619C89 on neurological deficit, cognitive deficit and brain damage after middle cerebral artery occlusion in the rat","S. E. Smith, H. Hodges, P. Sowinski, C. M. Man, M. J. Leach, J. D. Sinden, J. A. Gray and B. S. Meldrum",1997,"Long-term beneficial effects of BW619C89 on neurological deficit, cognitive deficit and brain damage after middle cerebral artery occlusion in the rat","Neuroscience","77","4","1123-1135","10.1016/S0306-4522(96)00530-1",NA,16648
